scorer,,,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc
labeled-data,video1,67.jpg,1060.5665,621.4446,836.5229,549.0396,636.1142,605.3518,1041.8211,790.3586,898.8969,892.2807,721.075,880.3423,739.802,737.0753,982.0,722.9752,,
labeled-data,video1,68.jpg,1060.5615,621.4412,836.5212,549.0357,636.1136,605.3599,1041.8241,790.3327,898.9298,892.289,721.041,880.3446,739.8084,737.0736,982.0489,722.9771,,
labeled-data,video1,69.jpg,1060.5688,621.4422,836.5237,549.0369,636.118,605.3549,1041.8213,790.3201,898.9518,892.2895,721.0269,880.3487,739.8041,737.0759,982.0897,722.9729,,
labeled-data,video1,70.jpg,1060.5689,621.4488,836.5244,549.0354,636.1191,605.3582,1041.8254,790.3136,898.9824,892.2811,720.9974,880.3493,739.8045,737.0712,982.12,722.9813,,
labeled-data,video1,71.jpg,1060.5692,621.446,836.5209,549.0379,636.1131,605.3545,1041.8204,790.293,899.0,892.2865,720.9619,880.3492,739.8096,737.0738,982.1543,722.9807,,
labeled-data,video1,72.jpg,1060.5678,621.4422,836.5202,549.0321,636.1189,605.3591,1041.8245,790.2822,899.0302,892.29,720.9349,880.3431,739.8041,737.0728,982.1982,722.9891,,
labeled-data,video1,73.jpg,1060.5677,621.4443,836.5257,549.0359,636.1128,605.3544,1041.826,790.2784,899.0639,892.2846,720.9121,880.3447,739.8078,737.073,982.2376,722.9894,,
labeled-data,video1,74.jpg,1060.5617,621.4415,836.5276,549.0338,636.1118,605.3505,1041.8207,790.2549,899.0836,892.2834,720.8824,880.349,739.8057,737.0762,982.2712,722.9978,,
labeled-data,video1,75.jpg,1060.5661,621.4423,836.5298,549.0339,636.1168,605.353,1041.829,790.2417,899.1145,892.2821,720.8555,880.3411,739.8017,737.0707,982.3175,722.9924,,
labeled-data,video1,76.jpg,1060.5623,621.4484,836.5266,549.0378,636.1176,605.3539,1041.8249,790.22,899.145,892.2882,720.8281,880.3449,739.8071,737.0723,982.3588,722.9984,,
labeled-data,video1,77.jpg,1060.5626,621.4443,836.5223,549.0394,636.1186,605.352,1041.8294,790.2104,899.1715,892.2892,720.8071,880.3475,739.8058,737.0751,982.3863,723.0,,
labeled-data,video1,78.jpg,1060.5611,621.4442,836.5263,549.0356,636.1143,605.3564,1041.8291,790.2059,899.1903,892.2846,720.7763,880.3462,739.8052,737.0754,982.4244,723.0,,
labeled-data,video1,79.jpg,1060.5666,621.4481,836.5205,549.038,636.1195,605.3527,1041.8283,790.1832,899.2298,892.2802,720.745,880.3435,739.8088,737.0745,982.4669,723.0,,
labeled-data,video1,80.jpg,1060.5628,621.4455,836.5227,549.0333,636.1175,605.3541,1041.8281,790.1757,899.2526,892.2856,720.7249,880.3443,739.8096,737.076,982.5059,723.0,,
labeled-data,video1,81.jpg,1060.5627,621.4499,836.5294,549.0368,636.1134,605.3509,1041.8239,790.1623,899.2887,892.2831,720.6959,880.3462,739.8088,737.0764,982.5448,723.0116,,
labeled-data,video1,82.jpg,1060.5615,621.4445,836.5211,549.0398,636.1157,605.3502,1041.8267,790.1499,899.3043,892.2895,720.6636,880.3441,739.8015,737.0797,982.5741,723.0125,,
labeled-data,video1,83.jpg,1060.5625,621.4433,836.5286,549.0302,636.1122,605.3539,1041.8262,790.1394,899.3319,892.2887,720.6351,880.3452,739.8085,737.078,982.6167,723.0105,,
labeled-data,video1,84.jpg,1060.5655,621.4476,836.5254,549.0339,636.1101,605.3528,1041.8231,790.1232,899.3648,892.2871,720.6169,880.3438,739.8058,737.0746,982.6552,723.0177,,
labeled-data,video1,85.jpg,1060.5638,621.4483,836.5226,549.0312,636.1108,605.3565,1041.8206,790.1036,899.3839,892.2815,720.5855,880.3481,739.8082,737.0762,982.6994,723.0279,,
labeled-data,video1,86.jpg,1060.5611,621.4496,836.5236,549.0337,636.1135,605.3566,1041.8209,790.0989,899.4106,892.2894,720.5596,880.3462,739.806,737.0776,982.738,723.0265,,
labeled-data,video1,87.jpg,1060.5693,621.4459,836.5283,549.036,636.1143,605.3574,1041.8262,790.1781,899.2616,892.2813,720.7109,880.3423,739.8017,737.0767,982.8864,723.2579,,
labeled-data,video1,88.jpg,1060.5667,621.4496,836.5207,549.0385,636.1181,605.3593,1041.8227,790.2487,899.1082,892.2869,720.8618,880.3499,739.806,737.0785,983.0404,723.4962,,
labeled-data,video1,89.jpg,1060.5682,621.4478,836.5214,549.0379,636.1143,605.353,1041.8276,790.3295,898.943,892.2838,721.03,880.3412,739.8082,737.0754,983.1989,723.728,,
labeled-data,video1,90.jpg,1060.5615,621.449,836.5276,549.0358,636.1104,605.3511,1041.8263,790.407,898.7979,892.2873,721.1744,880.3462,739.8012,737.0789,983.3581,723.9563,,
labeled-data,video1,91.jpg,1060.5663,621.4429,836.5213,549.0354,636.1112,605.3587,1041.8273,790.4848,898.6303,892.282,721.3321,880.341,739.8029,737.0775,983.515,724.1942,,
labeled-data,video1,92.jpg,1060.5619,621.4492,836.5278,549.0355,636.1163,605.3596,1041.8276,790.5613,898.4829,892.287,721.4911,880.3424,739.8022,737.0791,983.6608,724.4242,,
labeled-data,video1,93.jpg,1060.5609,621.4473,836.5205,549.0355,636.1199,605.3584,1041.8202,790.6327,898.3277,892.2868,721.6414,880.3498,739.8012,737.071,983.8232,724.6515,,
labeled-data,video1,94.jpg,1060.5627,621.4427,836.5247,549.0331,636.1124,605.3544,1041.8243,790.7152,898.1743,892.2837,721.809,880.3456,739.8012,737.0708,983.9703,724.8965,,
labeled-data,video1,95.jpg,1060.5601,621.448,836.5207,549.0364,636.1126,605.3591,1041.8218,790.7951,898.0153,892.2868,721.9599,880.35,739.8012,737.0754,984.1347,725.1284,,
labeled-data,video1,96.jpg,1060.5698,621.4479,836.5227,549.0389,636.1199,605.3551,1041.8253,790.8797,897.8535,892.2892,722.116,880.3479,739.8034,737.0779,984.2802,725.366,,
labeled-data,video1,97.jpg,1060.5669,621.4406,836.5206,549.0325,636.1199,605.3508,1041.8261,790.9503,897.7034,892.2819,722.2684,880.3426,739.8029,737.0791,984.4428,725.5963,,
labeled-data,video1,98.jpg,1060.569,621.4402,836.5243,549.0319,636.1197,605.3591,1041.8272,791.0247,897.5464,892.2898,722.4202,880.3456,739.8001,737.0799,984.6056,725.8289,,
labeled-data,video1,99.jpg,1060.5669,621.4446,836.5256,549.0342,636.1153,605.356,1041.8275,791.1025,897.394,892.2828,722.5874,880.3427,739.8081,737.0764,984.7504,726.0613,,
labeled-data,video1,100.jpg,1060.5665,621.4403,836.5297,549.034,636.1171,605.3551,1041.8225,791.1857,897.2343,892.284,722.7354,880.3401,739.8081,737.0738,984.9162,726.295,1036.1432,718.5083
labeled-data,video1,101.jpg,1057.2924,621.4401,909.5627,553.3956,687.3423,602.0865,1059.2663,800.9907,902.687,885.7433,720.5513,874.8955,769.233,740.3419,1009.9887,733.9299,1062.3029,733.7666
labeled-data,video1,102.jpg,1084.6366,507.1866,876.3818,501.8824,689.2493,604.4583,1139.8729,660.595,1048.9398,799.6429,835.4252,849.9622,829.2589,715.7727,1045.8042,615.0495,,
labeled-data,video1,103.jpg,1249.498,626.6661,1116.2192,516.9962,886.1243,545.9282,1240.6795,758.143,1119.9808,828.4441,901.2805,807.0748,938.2586,681.8343,1180.8111,683.0908,,
labeled-data,video1,104.jpg,1124.8338,315.0525,904.4964,376.6874,844.9466,557.8993,1213.5268,388.4177,1227.5551,563.6243,1069.5261,735.2958,982.9717,619.0,1112.1336,427.2472,,
labeled-data,video1,105.jpg,1034.3785,234.2025,834.8913,383.5574,846.4292,556.815,1122.4095,273.8654,1207.7778,442.6336,1119.8677,636.6239,995.2332,561.8943,1061.7757,331.0283,,
labeled-data,video1,106.jpg,,,694.8723,356.1936,850.1272,511.1025,866.6009,113.849,1052.1744,243.8843,1072.7674,439.0,935.4491,409.9231,836.4199,189.1557,,
labeled-data,video1,107.jpg,452.5342,349.8879,600.1396,422.781,756.8414,455.9754,557.3592,112.038,682.7062,115.3664,916.1628,259.3619,821.341,316.9776,596.5371,263.6779,,
labeled-data,video1,108.jpg,268.3305,408.3797,502.121,528.9076,622.5161,480.7016,320.9701,312.4386,427.8023,185.9473,639.7666,209.2829,612.3254,344.648,381.0442,373.0398,,
labeled-data,video1,109.jpg,119.4786,582.3191,365.0595,645.1703,499.7637,523.7753,102.47,463.3931,241.5636,291.5512,394.596,282.2307,408.4564,413.6983,192.5106,509.4517,,
labeled-data,video1,110.jpg,,,532.2949,863.5342,486.7546,599.1879,257.9945,1002.6767,157.4261,708.831,235.8386,624.1369,345.5032,649.4498,331.6017,892.2111,,
labeled-data,video1,111.jpg,502.6655,993.7245,466.824,821.436,526.504,725.8949,351.0395,1155.1396,198.2657,1010.1051,259.5647,675.741,363.6395,779.5376,419.0,1011.9324,,
labeled-data,video1,112.jpg,,,,,634.1116,881.3952,758.7489,1221.5564,515.4942,1231.4549,420.72,1064.7861,550.1857,1032.1469,745.8585,1108.085,,
labeled-data,video1,113.jpg,905.697,1039.909,,,703.8466,998.5392,851.7463,1232.7507,625.3582,1251.4824,582.7443,1221.2568,604.6604,1136.4422,793.9131,1113.6797,,
labeled-data,video1,114.jpg,,,,,,,714.2076,1089.1347,753.8972,1242.9732,628.2768,1267.7624,518.8276,1211.6238,601.3462,1031.789,,
labeled-data,video1,115.jpg,538.2289,1056.2332,576.3482,874.0659,526.953,701.6692,448.708,1142.7026,227.2166,1022.1132,208.6313,819.8769,354.9162,801.7733,438.7584,1023.5686,,
labeled-data,video1,116.jpg,660.5558,1234.8162,670.5745,972.3988,492.1054,789.2926,540.2685,1250.395,349.5392,1152.5447,258.7249,969.0225,442.4525,944.2426,549.7082,1162.6937,,
labeled-data,video1,117.jpg,,,814.0152,982.1805,657.5131,920.7936,1001.906,1154.7684,764.8039,1244.9244,540.7518,1185.5338,641.3828,1121.559,870.1106,1084.9652,,
labeled-data,video1,118.jpg,1137.6481,757.4166,885.9341,828.5719,733.5085,892.4198,1147.5003,1000.6037,1003.5332,1074.4995,878.6161,1136.8279,870.5117,1026.9288,1068.6456,924.7481,,
labeled-data,video1,119.jpg,1141.2777,336.615,921.0,485.4533,902.6704,623.1002,1272.17,359.2986,1256.1665,638.2527,1098.5934,778.6652,1024.5767,686.672,1133.9175,479.8334,,
labeled-data,video1,120.jpg,864.8038,144.6292,768.2126,362.6317,857.4452,528.7006,992.2947,132.9587,1113.8145,288.794,1101.7542,503.016,981.9392,469.8136,944.9639,231.7735,,
labeled-data,video1,121.jpg,,,549.9666,361.4546,812.5661,509.784,633.1368,94.8121,839.4051,131.286,900.8855,261.3099,818.6508,343.8225,653.7773,181.9704,,
labeled-data,video1,122.jpg,797.8663,119.9853,598.7145,233.3066,731.1211,384.967,967.3405,179.0856,1004.8676,272.2834,904.8167,482.9735,760.4448,426.7816,850.5589,205.8382,,
labeled-data,video1,123.jpg,1254.4608,369.6058,1092.1113,277.4174,891.6776,303.6349,1271.3142,565.3316,1051.486,642.2353,805.2966,535.0582,917.6747,452.1045,1152.7992,488.8075,,
labeled-data,video1,124.jpg,1279.1559,667.1947,1236.2858,518.5063,1033.0155,410.4055,1265.8714,772.9108,1064.0702,838.7514,881.9583,654.9849,968.2127,588.2865,1171.256,682.8654,,
labeled-data,video1,125.jpg,1104.7866,263.4021,1026.7325,265.3659,869.9851,381.6005,1221.8714,451.8443,1138.525,460.9268,889.8117,653.2684,913.8876,524.5004,1031.5191,387.6502,,
labeled-data,video1,126.jpg,860.1984,136.1858,1043.9087,267.3391,,,884.3197,135.8958,1024.6153,211.4223,1185.0,381.6835,1052.276,330.4568,871.3925,270.3331,,
labeled-data,video1,127.jpg,697.8041,112.5109,850.083,130.6417,1048.9891,217.1421,727.8145,102.8547,,,1068.0931,234.2845,966.6946,260.3053,736.209,241.4269,,
labeled-data,video1,128.jpg,613.4681,116.243,725.6191,96.6591,,,670.7536,99.3714,,,1061.5908,238.0234,892.2968,221.6591,636.0566,233.4981,,
labeled-data,video1,129.jpg,,,,,,,528.2505,110.9529,708.1945,103.1303,1057.7823,239.1476,884.8835,229.8876,637.78,249.2621,,
labeled-data,video1,130.jpg,,,,,,,315.4927,223.02,419.5537,152.671,690.1537,106.4141,627.6466,129.2468,439.0938,284.3761,,
labeled-data,video1,131.jpg,,,,,,,279.2307,242.1607,419.491,141.6661,690.0148,108.1452,602.046,125.3213,434.6541,282.3132,,
labeled-data,video1,132.jpg,415.7822,176.4545,,,,,430.3582,148.1195,510.9523,118.6358,842.3491,119.2274,749.7095,115.1952,569.306,257.3231,,
labeled-data,video1,133.jpg,454.984,151.8987,,,,,489.6194,144.7248,589.4745,154.7376,,,831.2616,148.0313,619.279,251.6124,,
labeled-data,video1,134.jpg,964.3818,426.5934,905.2737,236.4878,971.3214,183.8101,711.2345,386.5191,695.7359,110.2968,831.448,128.8707,872.2243,126.4747,809.9441,331.6282,,
labeled-data,video1,135.jpg,1004.6733,539.1863,864.7633,190.9111,938.6967,160.0323,858.0658,570.2316,716.2388,406.4364,623.9238,281.2907,824.1253,178.3114,887.4466,393.2248,,
labeled-data,video1,136.jpg,1142.6684,464.2841,1020.0885,250.7226,943.8449,163.5275,1008.61,559.5268,774.2948,587.4066,720.3279,435.8087,800.5967,259.613,970.8097,425.7321,,
labeled-data,video1,137.jpg,452.8022,321.065,474.4703,404.2668,581.7395,554.3392,,,681.0372,304.4825,,,642.7843,480.0412,542.7009,273.3824,,
labeled-data,video1,138.jpg,818.6529,994.3223,890.8504,790.9342,807.7849,582.0362,716.6655,1024.2557,525.8371,924.1174,488.5301,678.7712,670.7614,722.4241,759.5802,938.9195,,
labeled-data,video1,139.jpg,,,898.0381,1097.3776,864.5595,878.5025,596.9549,1233.8871,528.5146,927.2147,572.3423,859.2589,722.8033,918.2211,675.8294,1153.9098,,
labeled-data,video1,140.jpg,1104.8669,1002.1599,996.0714,891.6936,774.1224,831.505,998.1664,1094.625,874.5161,1185.8621,738.9852,1093.64,781.3152,981.3629,1009.9491,1035.8611,,
labeled-data,video1,141.jpg,1251.9672,712.7105,1060.6707,602.5066,890.1762,715.4888,,,1153.353,976.303,909.7117,1040.6341,935.9739,862.5162,1161.1861,797.0431,,
labeled-data,video1,142.jpg,,,1016.259,564.8146,897.0498,723.1706,,,1131.4866,951.1206,1040.112,938.952,973.3873,837.8827,1156.7247,702.0978,,
labeled-data,video1,143.jpg,1227.6876,524.432,1021.7305,565.4652,892.9743,715.7485,1262.4067,610.8687,1213.5802,757.2904,1053.3837,857.6769,985.9601,748.5172,1172.5264,619.0796,,
