scorer,,,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc
labeled-data,video3,75.jpg,883.5367,210.5322,868.623,502.7306,1007.5407,572.5196,1105.7045,304.6243,,,1078.9263,596.9244,1030.2873,544.8006,961.6469,309.0728,,
labeled-data,video3,76.jpg,883.7762,211.0313,868.8092,502.4205,972.6692,547.4311,1105.9056,304.4695,1127.3166,509.9756,,,1029.8195,544.9221,961.7439,308.6814,,
labeled-data,video3,77.jpg,884.0134,211.5261,868.9917,502.1188,1061.0527,613.5256,1106.1199,304.3099,,,1078.2436,579.7811,1029.3322,545.0444,961.8559,308.2966,,
labeled-data,video3,78.jpg,884.2539,212.0109,869.1766,501.8108,,,1106.3214,304.1408,,,1113.9516,586.5026,1028.8684,545.157,961.9658,307.9006,,
labeled-data,video3,79.jpg,884.4918,212.5186,869.3554,501.5099,,,1106.5232,303.982,,,1074.0914,575.5727,1028.3951,545.2759,962.0694,307.511,,
labeled-data,video3,80.jpg,884.7206,213.0,869.547,501.1976,,,1106.7364,303.8237,1116.1666,493.2476,1055.0607,646.5368,1027.9291,545.3977,962.1751,307.1274,,
labeled-data,video3,81.jpg,884.9615,213.4906,869.7263,500.8929,,,1106.9346,303.6678,,,1065.4597,630.8653,1027.4558,545.5171,962.2787,306.7303,,
labeled-data,video3,82.jpg,885.2042,213.9957,869.916,500.5844,1060.3836,611.7195,1107.144,303.5025,,,1084.8565,596.9807,1026.9727,545.6383,962.3845,306.3479,,
labeled-data,video3,83.jpg,885.4406,214.4821,870.0995,500.2871,1020.8027,602.7451,1107.3478,303.3451,,,1071.7068,566.2635,1026.5033,545.7429,962.4851,305.9558,,
labeled-data,video3,84.jpg,885.6816,214.9706,870.2744,499.9719,981.2168,593.7885,1107.558,303.18,1120.5003,508.3989,,,1026.0371,545.8684,962.598,305.576,,
labeled-data,video3,85.jpg,885.923,215.4789,870.4639,499.6624,1034.881,604.5556,1107.7531,303.0256,,,,,1025.5693,545.9841,962.6948,305.1865,,
labeled-data,video3,86.jpg,886.168,215.9688,870.6409,499.3662,1058.2101,612.4456,1107.9651,302.8655,,,1064.1666,585.7328,1025.0975,546.1031,962.8094,304.7945,,
labeled-data,video3,87.jpg,886.4062,216.4549,870.8288,499.0529,1052.6598,631.8882,1108.1762,302.6998,,,1070.2857,587.6441,1024.6196,546.2266,962.9023,304.408,,
labeled-data,video3,88.jpg,886.6461,216.9507,871.0131,498.7455,1050.1571,666.0407,1108.374,302.5335,,,,,1024.1439,546.3357,963.0161,304.0193,,
labeled-data,video3,89.jpg,886.8821,217.4424,871.1908,498.4405,1074.63,634.7198,1108.5804,302.3728,1121.7494,451.0374,1091.7277,607.5834,1023.6729,546.451,963.1116,303.6205,,
labeled-data,video3,90.jpg,887.1281,217.9301,871.3848,498.1344,,,1108.7887,302.2128,,,,,1023.2023,546.5731,963.2277,303.2319,,
labeled-data,video3,91.jpg,887.3626,218.422,871.5658,497.8388,,,1108.9911,302.0531,1140.5983,544.3529,1100.8545,562.5836,1022.7364,546.6906,963.3249,302.8485,,
labeled-data,video3,92.jpg,887.6022,218.9229,871.7463,497.5234,,,1109.1999,301.8988,,,,,1022.2588,546.8078,963.4342,302.4623,,
labeled-data,video3,93.jpg,887.8493,219.4138,871.9302,497.2183,,,1109.4086,301.7362,,,,,1021.7813,546.9255,963.55,302.0707,,
labeled-data,video3,94.jpg,888.0836,219.9031,872.1152,496.9133,,,1109.6061,301.57,,,1065.9979,589.3235,1021.3171,547.0421,963.6406,301.6823,,
labeled-data,video3,95.jpg,888.3196,220.4069,872.2902,496.6006,,,1109.8108,301.4134,1111.3812,533.0667,1046.5119,617.917,1020.8451,547.1621,963.7546,301.2923,,
labeled-data,video3,96.jpg,888.5547,220.894,872.4806,496.293,,,1110.0206,301.2552,,,1098.3002,561.761,1020.3771,547.2884,963.8585,300.9055,,
labeled-data,video3,97.jpg,888.7913,221.3853,872.667,495.9998,1038.1405,583.37,1110.2268,301.0949,,,1044.1838,578.8499,1019.0524,547.2489,963.9629,300.5113,,
labeled-data,video3,98.jpg,889.0399,221.8837,872.8588,495.6818,1045.1306,568.6639,1110.4363,300.9319,,,1053.945,565.9742,1017.7418,547.2195,964.0619,300.1228,,
labeled-data,video3,99.jpg,889.2735,222.3783,873.032,495.3856,1033.0948,563.1256,1110.6333,300.7739,,,1040.9449,562.3062,1014.8701,546.2508,964.1721,299.7321,,
labeled-data,video3,100.jpg,889.5119,222.8642,873.2172,495.0794,1031.6691,615.8808,1110.841,300.6021,,,1044.4962,610.7705,1012.0155,545.2995,961.8088,302.6473,,
labeled-data,video3,101.jpg,889.7544,223.3616,873.4043,494.77,1034.7942,602.0358,1111.0459,300.4484,,,1039.6071,598.2229,1013.071,540.7771,963.2006,303.1061,,
labeled-data,video3,102.jpg,889.9959,223.8567,873.5809,494.4639,1036.0531,594.4463,1111.2504,300.2895,,,1056.29,634.6735,1010.1525,545.5397,964.5997,303.5782,,
labeled-data,video3,103.jpg,890.2318,224.344,873.7668,494.1565,1048.2779,560.9765,1111.4597,300.1266,,,1059.9057,564.0456,1013.6888,546.8417,965.9918,304.0371,,
labeled-data,video3,104.jpg,890.4796,224.8438,873.9597,493.8433,,,1111.6662,299.9608,,,1035.3369,577.7185,1019.6049,546.1732,964.6772,302.7286,,
labeled-data,video3,105.jpg,890.7139,225.3341,874.132,493.5461,898.8244,560.9565,1111.8673,299.8038,1104.225,376.1823,1148.8,470.5807,1025.5226,545.495,963.3695,301.4049,,
labeled-data,video3,106.jpg,892.2122,228.7712,874.3273,493.2306,916.3497,569.711,1112.0798,299.6427,1102.627,388.9202,1104.5229,508.1477,1023.4761,548.0,968.6855,308.7263,,
labeled-data,video3,107.jpg,893.7183,232.2019,874.5008,492.9289,965.7079,584.4423,1112.2853,299.4838,1109.7999,432.7239,1157.8759,541.598,1029.4032,559.2732,974.0,316.0329,,
labeled-data,video3,108.jpg,832.7117,303.149,874.682,492.6254,937.9752,628.3045,1112.4895,299.3265,1156.9784,452.9387,,,1034.2709,566.5153,979.3374,323.3435,,
labeled-data,video3,109.jpg,813.6043,352.5243,895.2802,621.8925,973.0502,696.2913,1110.6546,300.9137,1132.8909,478.9108,,,1046.6592,597.4529,984.9062,360.7782,,
labeled-data,video3,110.jpg,814.3866,352.9335,,,1039.126,661.5779,1108.8187,302.4936,1132.9926,478.7615,,,1046.6534,602.2359,985.224,363.0,,
labeled-data,video3,111.jpg,815.167,353.3483,,,1041.452,723.6404,1106.9811,304.0871,1133.1018,478.6152,,,1047.9517,602.6036,985.5424,365.2392,,
labeled-data,video3,112.jpg,815.9431,353.7513,,,,,1105.1467,305.676,1133.2146,478.4601,,,1049.2594,602.9809,985.8695,367.4611,,
labeled-data,video3,113.jpg,816.73,354.16,,,1048.3422,698.267,1103.3167,307.2696,1133.3119,478.3172,,,1050.555,603.3646,986.1712,369.6933,,
labeled-data,video3,114.jpg,817.5164,354.5691,,,1027.8923,628.8854,1101.4898,308.8409,1133.421,478.1756,,,1051.8559,603.7435,986.4934,371.9297,,
labeled-data,video3,115.jpg,818.2923,354.9742,,,1026.9193,680.4506,1099.6418,310.4315,1133.5262,478.0297,,,1053.1462,604.1153,986.671,373.1655,,
labeled-data,video3,116.jpg,819.0751,355.3842,,,1022.781,653.2051,1097.8103,312.0206,1133.6364,477.8703,,,1054.4477,604.4987,986.854,374.4007,,
labeled-data,video3,117.jpg,819.8543,355.7952,,,1015.8147,667.5726,1095.9792,313.6149,1133.7484,477.7229,,,1055.7446,604.8732,987.0284,375.6413,,
labeled-data,video3,118.jpg,820.6379,356.2078,,,1032.94,668.7967,1094.1408,315.2095,1133.8442,477.5783,,,1057.0407,605.2428,987.2011,376.8842,,
labeled-data,video3,119.jpg,821.4139,356.6182,,,1051.5433,668.6777,1092.3066,316.7817,1133.9545,477.4233,,,1058.3481,605.6275,987.3849,378.1285,,
labeled-data,video3,120.jpg,822.1928,357.026,,,1034.4683,670.2153,1090.4719,318.3726,1134.0665,477.2797,,,1059.6457,606.0,987.5576,379.3607,,
labeled-data,video3,121.jpg,822.9795,357.4372,,,,,1088.645,319.97,1134.1686,477.1275,,,1060.9424,606.3833,987.7334,380.5949,,
labeled-data,video3,122.jpg,823.769,357.8422,,,,,1086.8011,321.5566,1134.2764,476.9708,,,1062.2411,606.7535,987.9166,381.8363,,
labeled-data,video3,123.jpg,824.5443,358.2525,932.0257,592.1764,983.2434,674.849,1084.9702,323.1326,1134.3724,476.8209,,,1063.5408,607.1344,988.0901,383.0711,,
labeled-data,video3,124.jpg,825.3239,358.6664,,,1044.2942,667.5491,1083.138,324.7278,1134.4823,476.6756,,,1064.848,607.5157,988.2851,384.2801,,
labeled-data,video3,125.jpg,826.0264,358.7009,,,,,1081.3006,326.3187,1134.5939,476.5207,,,1066.1433,607.8983,988.4736,385.5036,,
labeled-data,video3,126.jpg,826.7247,358.74,,,,,1079.4621,327.9073,1134.6969,476.3858,,,1067.444,608.2629,988.6625,386.7117,,
labeled-data,video3,127.jpg,827.4269,358.7723,,,,,1077.6389,329.4896,1134.8079,476.2371,,,1068.7484,608.6445,991.7099,389.585,,
labeled-data,video3,128.jpg,828.1287,358.8124,,,1095.5411,646.6537,1075.8037,331.075,1134.9002,476.0841,,,1070.0404,609.0239,991.568,387.1553,,
labeled-data,video3,129.jpg,815.6946,383.9415,910.5221,622.4399,999.9677,683.604,1037.571,260.1921,1135.0153,475.9359,,,1071.3483,609.3926,991.41,384.71,,
labeled-data,video3,130.jpg,803.2593,409.0676,,,1041.1113,662.3653,1038.0,259.385,1135.1224,475.7874,,,1070.8119,608.7316,991.2739,382.2758,,
labeled-data,video3,131.jpg,803.9521,408.0361,1046.3446,702.7851,1080.7166,707.6533,1038.443,258.5692,1135.2213,475.6325,,,1070.2842,608.071,991.5426,381.041,,
labeled-data,video3,132.jpg,804.6691,407.0,,,1037.8199,660.0244,1038.8709,257.7557,1135.3301,475.4868,,,1069.7644,607.4141,991.8124,379.8085,,
labeled-data,video3,133.jpg,805.3729,405.9754,1011.7107,667.5061,1040.2852,691.0468,1039.3102,256.9376,1135.4387,475.3394,,,1069.2358,606.7548,992.0831,378.5693,,
labeled-data,video3,134.jpg,806.0733,404.932,,,1054.3175,656.8451,1039.741,256.116,1135.5452,475.1816,,,1068.711,606.0884,992.3578,377.3262,,
labeled-data,video3,135.jpg,806.7899,403.9077,,,1047.1144,642.9805,1040.1826,255.3067,1135.6549,475.0382,,,1068.1825,605.4204,992.6203,376.0919,,
labeled-data,video3,136.jpg,807.6881,402.9867,,,,,1040.6641,254.9294,1136.2709,474.2324,,,1067.8971,604.779,993.0839,374.961,,
labeled-data,video3,137.jpg,808.5786,402.0621,1033.5416,602.8108,1054.9887,654.6917,1041.1467,254.5545,1136.8909,473.4314,,,1067.6002,604.1248,993.5413,373.8404,,
labeled-data,video3,138.jpg,808.7592,402.224,1041.3877,618.9184,,,1040.7076,255.5789,1140.972,479.1603,,,1068.8976,604.9154,993.2856,373.7988,,
labeled-data,video3,139.jpg,808.9232,402.3823,,,1058.9184,655.1127,1040.2554,256.5972,1145.0505,484.8991,,,1070.1818,605.6954,993.0256,373.746,,
labeled-data,video3,140.jpg,809.1039,402.5415,877.8718,539.6196,999.1617,637.4115,1039.8087,257.6118,1149.1491,490.6289,1161.5372,565.4881,1068.8635,606.1133,992.765,373.708,,
labeled-data,video3,141.jpg,809.2848,402.7094,885.8318,558.7266,992.6881,681.5474,1039.3532,258.6346,1148.5067,490.1871,,,1067.5425,606.5277,992.503,373.6526,,
labeled-data,video3,142.jpg,809.4518,402.8641,883.4446,555.5305,991.4639,675.9759,1038.9124,259.6681,1147.8619,489.7497,,,1066.2202,606.9333,992.248,373.6045,,
labeled-data,video3,143.jpg,809.6369,403.0186,883.8751,555.1696,,,1038.4914,260.3897,1147.2253,489.3014,,,1064.899,607.3575,991.9898,373.5688,,
labeled-data,video3,144.jpg,809.8155,403.1734,884.3034,554.7923,1019.349,645.7727,1038.0626,261.0943,1146.5916,488.8679,1140.6326,567.0675,1063.5728,607.7648,991.726,373.514,,
labeled-data,video3,145.jpg,809.982,403.3344,884.7302,554.4193,998.3695,650.9542,1037.6438,261.8118,1145.9591,488.4205,,,1062.2593,608.1811,991.465,373.4678,,
labeled-data,video3,146.jpg,810.1687,403.4986,885.1521,554.049,996.7756,618.2978,1037.221,262.5366,1145.317,487.9809,1144.8528,563.5683,1060.9376,608.5989,991.197,373.4241,,
labeled-data,video3,147.jpg,810.3485,403.6532,885.5851,553.6733,1000.8801,654.1376,1036.8031,263.2589,1144.6896,487.5423,,,1059.6197,609.0,990.9366,373.3711,,
labeled-data,video3,148.jpg,810.5105,403.818,886.0106,553.298,,,1036.3822,263.9748,1144.0491,487.1063,,,1058.298,609.4217,990.6718,373.3224,,
labeled-data,video3,149.jpg,810.6985,403.9776,886.4472,552.9213,1013.4903,632.6328,1035.9604,264.6975,1143.4093,486.6665,1159.4785,558.3152,1056.9792,609.8319,990.4168,373.28,,
labeled-data,video3,150.jpg,810.8649,404.1341,886.8777,552.5577,,,1035.5409,265.413,1142.7619,486.2211,,,1055.6433,610.2569,990.1536,373.2381,,
labeled-data,video3,151.jpg,811.0454,404.2947,887.2919,552.1866,981.9021,613.5284,1035.5518,265.5093,1142.1379,485.7858,1126.3858,699.8391,1054.3281,610.6674,989.8928,373.1841,,
labeled-data,video3,152.jpg,811.2232,404.4571,887.7271,551.8043,1013.7604,683.4645,1035.5668,265.5962,1141.492,485.343,,,1053.0,611.0702,989.6378,373.1478,,
labeled-data,video3,153.jpg,811.3924,404.6034,888.1595,551.4325,1022.059,679.2564,1035.5643,265.6907,1140.8592,484.9011,,,1051.6867,611.4928,989.3768,373.0934,,
labeled-data,video3,154.jpg,811.5779,404.768,888.5892,551.0604,1035.6617,650.7063,1035.5748,265.7808,1140.2139,484.4682,,,1050.3692,611.9044,989.1113,373.0425,,
labeled-data,video3,155.jpg,811.7574,404.9222,889.0169,550.6858,1047.9403,721.709,1035.589,265.8776,1139.5884,484.0269,1009.0139,699.2062,1049.0421,612.3191,988.8596,373.0,,
labeled-data,video3,156.jpg,811.9259,405.0805,889.4355,550.3195,975.2776,661.3031,1035.0731,265.8633,1138.9428,483.5896,,,1062.1829,605.4189,988.5901,372.96,,
labeled-data,video3,157.jpg,812.1014,405.2427,889.8601,549.9449,1080.4451,676.155,1034.5618,265.8531,1138.3094,483.1499,1089.0107,673.7824,1075.323,598.5197,988.3374,372.9019,,
